FID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION
HUNDESACKERLOGD.26727334,POINT (16.40340620557639 48.222714161459336),2,Vorgartenstraße,# Ennsgasse,2553,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727336,POINT (16.40232077600445 48.22219556016886),2,Ennsgasse,ggü. 15,2552,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727337,POINT (16.401680071809924 48.22202354559909),2,Radingerstraße,# Ennsgasse,2551,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727340,POINT (16.40565862703723 48.22099251240321),2,Vorgartenstraße,# Jungstraße,2554,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727341,POINT (16.43615907317413 48.188474949802284),2,Gärtnerstraße,# Kanalwächterhausweg,1177,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727342,POINT (16.404197041656168 48.22376201496731),2,Mexikoplatz,ggü. 19,2251,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727343,POINT (16.416497761646426 48.21605088453091),2,Offenbachgasse,5,1081,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727345,POINT (16.401213637462426 48.21887702653941),2,Stuwerstraße,# Molkereistraße,1080,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727347,POINT (16.405005582706178 48.21934333643739),2,Ilgplatz,ggü. 1,0012,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727348,POINT (16.396388350713693 48.21999448108817),2,Venediger Au,ggü. Höhe Ybbsstraße,2254,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727349,POINT (16.40794057599576 48.22113158360465),2,Engerthstraße,# Hillerstraße,0263,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728233,POINT (16.335121850445105 48.198699271599914),15,Goldschlagstraße,11,0324,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728234,POINT (16.303992810074867 48.16068112464833),12,Wundtgasse,# Jägerhausstraße,,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728235,POINT (16.36459824825719 48.22330396860249),9,D'Orsay-Gasse,10,0261,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728236,POINT (16.347697036555548 48.222585153018535),9,Währinger Gürtel,78 ggü.,2520,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728237,POINT (16.271753503168263 48.19626344549848),14,Nikischgasse,# Pierrongasse,1417,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728238,POINT (16.412649954820502 48.29559375664014),21,Edi-Finger-Straße,# Rudolf-Zöhrer-Weg,3069,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728239,POINT (16.277987644282938 48.18114283477287),13,Tolstojgasse,# Gogolgasse,2428,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728240,POINT (16.353384636202993 48.23015627570076),9,Ayrenhofgasse,# Sobieskigasse,1199,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728241,POINT (16.287205971534842 48.20840592193015),16,Reichmanngasse,# Demuthgasse,0444,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728242,POINT (16.333007971512515 48.24161474483965),19,Saileräckergasse,42,2783,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728243,POINT (16.35633059363638 48.230549049884274),9,Liechtensteinstraße,112,2778,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728244,POINT (16.34074785884197 48.24420202820158),19,Friedlgasse,45,2325,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728245,POINT (16.349822432129102 48.21600614010189),9,Mariannengasse,4-6,2701,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728246,POINT (16.264088988834768 48.16433234002906),13,Glawatschweg,# Granichstaedtenweg,1299,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728247,POINT (16.32412298588276 48.19720697670458),15,Kardinal-Rauscher-Platz,ggü. 3,0326,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728248,POINT (16.41866998997732 48.261770787441876),21,Steinheilgasse,# Hufgasse 27,2215,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728249,POINT (16.296451950661496 48.25411056240693),19,Celtesgasse,18,3354,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728250,POINT (16.341696357137454 48.24242124063703),19,Karl Mark-Gasse,# Obkirchengasse,1243,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728251,POINT (16.3165908108131 48.14091539283129),23,Ostrandstraße,# Carlbergergasse,1289,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728252,POINT (16.337936309169503 48.24315425022315),19,Weinberggasse,19 - 33 (In der Krim),1218,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728253,POINT (16.330111793459785 48.20283523156779),15,Burjanplatz,1,0250,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728254,POINT (16.314766363086296 48.20119208548188),15,Akkonplatz,# Schanzstraße,2206,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728255,POINT (16.355372190217874 48.2231424044309),9,Widerhoferplatz,2,2443,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728256,POINT (16.321602734808614 48.19894714677161),15,Hütteldorfer Straße,62,1432,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728257,POINT (16.320898833497093 48.193358629963306),15,Felberstraße,ggü. 102,1438,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728258,POINT (16.329946015688552 48.1910701163486),15,Reindorfgasse,39,2299,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728259,POINT (16.365439080744615 48.2245402497531),9,Schulz Staßnitzki Gasse,7,2973,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728260,POINT (16.34914853841423 48.223623586138054),9,Währinger Gürtel,ggü. 84,2779,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728261,POINT (16.38927727453206 48.2935132617951),21,Irenäusgasse,# Dr.-Albert-Geßmann-Gasse,2066,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728262,POINT (16.312396755717533 48.20360717508783),15,Ibsenstraße,# Behselgasse,2625,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728263,POINT (16.348109166210143 48.24616835539289),19,Saarplatz,1,0184,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728264,POINT (16.35631987831872 48.23273668853442),9,Liechtenwerder Platz,1,2968,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728265,POINT (16.33152159460694 48.24715755005699),19,Börnergasse,18,2702,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728266,POINT (16.36230451172991 48.21589394424558),9,Kolingasse,7,2965,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728267,POINT (16.360284254540453 48.220843580395986),9,Bauernfeldplatz,2,0424,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728268,POINT (16.385959075408184 48.29477311382511),21,Gmündstraße,# Mayerweckstraße,2065,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728269,POINT (16.320281374826152 48.205953785842894),15,Gablenzgasse,91,2626,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728270,POINT (16.363803795879782 48.22467081346869),9,Glasergasse,# Rotenlöwengasse,1242,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728271,POINT (16.361885818600637 48.22596335611667),9,Julius Tandler Platz,3,2685,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728272,POINT (16.39416949766846 48.26037367907652),21,Arnoldgasse,ggü. 1,2085,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728273,POINT (16.466805970086273 48.22919144050462),22,Plankenmaisstraße,ggü. 53,2472,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728274,POINT (16.327215174695034 48.204422887595655),15,Camillo-Sitte-Gasse,20,1435,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728275,POINT (16.39031825713398 48.29619251724269),21,Anton-Böck-Straße,ggü. 29,2800,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728276,POINT (16.46723342185334 48.21293919483869),22,Kapellenweg,# Orchisgasse,1356,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728277,POINT (16.334068830901558 48.2406099080971),19,Krottenbachstraße,69-73,1217,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728278,POINT (16.318058776609575 48.24837772707567),19,Hackenbergweg,16,1235,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728279,POINT (16.271519461026266 48.164045698123736),13,Dr.-Schober-Straße,ggü. 21,2545,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728280,POINT (16.312108715922587 48.25323226631394),19,Baaderwiesenweg,# Ährengrubweg,1234,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728281,POINT (16.352442954156395 48.22009519712078),9,Spitalgasse,14,2961,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728282,POINT (16.315803395481176 48.206670119936355),15,Mareschgasse,ggü. 32,2640,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
